name,diameter_min,diameter_max,velocity_kms,miss_distance_km,hazardous
(2014 JU15),0.0291443905,0.0651688382,18.5369388075,43477504.4477928,0
(2014 OL339),0.0738847787,0.1652113876,11.1610272071,48830482.077983886,0
(2015 FA341),0.0366906138,0.0820427065,6.4780748982,55401982.21568358,0
(2016 JN),0.0555334912,0.1241766613,14.0659817066,46759485.862061396,0
(2019 UJ3),0.0171614894,0.0383742569,20.3146185766,58413479.93986511,0
(2021 WG3),0.0129585073,0.0289761031,13.6488338887,74242120.14898486,0
(2022 YM6),0.0236894499,0.0529712204,11.6593481103,34976216.74001782,0
(2024 BD4),0.0131994239,0.0295148091,1.2606824068,9487020.610741707,0
(2024 KA1),0.0223128464,0.0498930414,8.3223316141,1877381.102487512,0
(2024 LA),0.0200703514,0.0448786701,18.2582075295,1798756.934991825,0
(2024 LR1),0.0802703167,0.1794898848,13.0157364964,11088569.929209227,0
(2024 LQ3),0.038775283,0.0867041687,13.5541441316,3678776.001439556,0
(2024 LU4),0.022108281,0.0494356193,13.0132709035,4297880.039570619,0
415949 (2001 XY10),0.3552670883,0.7944013596,23.8848668191,62766498.328526504,0
480927 (2002 YZ3),0.5451989071,1.2191018176,18.6759413381,64795225.38204455,0
(2013 MD6),0.1165614595,0.2606393469,16.0388787625,36349893.61625205,0
(2016 CQ247),0.1123453177,0.2512117673,23.9396392552,32715351.416124087,0
(2020 BK5),0.0676947481,0.1513700585,15.8478243338,58444391.27294428,0
(2021 LW3),0.0646479826,0.1445572836,9.8361260162,3707989.548292091,0
(2021 PB2),0.4597851883,1.028110936,15.2554775665,47793122.47136697,0
(2022 YH5),0.0130784109,0.0292442157,13.1220118538,41098069.09379939,0
(2023 JA4),0.0608912622,0.1361570015,15.5920206279,66402483.0859551,0
(2024 AT2),0.0090480497,0.0202320542,5.8615057191,54588876.15914636,0
(2024 KN),0.1165614595,0.2606393469,19.7624170776,49993452.49357266,1
(2024 LE1),0.0145396843,0.0325117225,9.8498212267,3756200.319218908,0
(2024 LH1),0.0018473746,0.0041308553,17.4040731252,8098.256295645,0
(2024 LP2),0.0573528464,0.1282448632,3.3867922202,39983437.834029466,0
(1998 KY26),0.0192555078,0.0430566244,5.2603097225,4589323.498268923,0
(2001 WK15),0.1434019235,0.320656449,13.5148243736,62533984.83677328,0
(2007 EC),0.095182033,0.212833496,3.7033712691,21555412.48699886,0
(2015 YA1),0.0334622374,0.0748238376,16.1234503637,51635501.186763175,0
(2016 JC6),0.1414343753,0.3162568776,7.0888537086,7604631.510118927,1
(2016 JN6),0.0175612318,0.0392681082,14.5288150048,61978463.827816196,0
(2017 HK1),0.0253837029,0.0567596853,13.6472481603,50631429.993460156,0
(2020 BZ6),0.0211132445,0.0472106499,5.4668692559,48663746.081519455,0
(2023 OE5),0.0141434375,0.0316256878,3.3178879186,20472421.7900852,0
(2023 XM10),0.049952241,0.1116966065,10.1044283815,40572308.845743515,0
(2024 JC1),0.0253837029,0.0567596853,4.8163882839,5782214.370485133,0
(2024 JP1),0.0182202771,0.0407417781,4.7266559787,7072635.858283796,0
(2024 KB1),0.0059505208,0.013305769,11.055234952,364228.447333216,0
(2024 KE1),0.0342416731,0.0765667087,10.8184782085,14269333.110480295,0
